PG2358+107,2100016014833,22.11,0.35,16.67540, 0.60523,56577.29792,0
BPSCS22957-23,1004009006288,20.99,0.49,23.07366,-5.32042,53710.15009,0
BPSCS22957-23,1004009006288,21.06,0.52,23.07636,-5.32088,53675.24226,0
BPSCS22957-23,1004009006288,18.50,0.14,23.07593,-5.32063,53675.25399,0
BPSCS22957-23,1004009006288,20.31,0.36,23.07559,-5.32084,53646.36787,0
BPSCS22957-23,1004009006288,20.82,0.48,23.07578,-5.32097,53646.37445,0
BPSCS22957-23,1004009006288,19.68,0.25,23.07653,-5.32098,53637.46788,0
BPSCS22957-23,1004009006288,19.28,0.19,23.07519,-5.32064,54090.15069,0
BPSCS22957-23,1004009006288,20.27,0.28,23.07550,-5.32090,54055.24870,0
BPSCS22957-23,1004009006288,21.06,0.44,23.07682,-5.32133,54055.26067,0
BPSCS22957-23,1004009006288,19.74,0.22,23.07589,-5.32074,54055.27262,0
BPSCS22957-23,1004009006288,20.63,0.38,23.07559,-5.32144,54030.30835,0
BPSCS22957-23,1004009006288,19.41,0.20,23.07595,-5.32074,54030.32127,0
BPSCS22957-23,1004009006288,21.01,0.47,23.07633,-5.32128,53996.31621,0
BPSCS22957-23,1004009006288,20.39,0.33,23.07598,-5.32097,54004.35107,0
BPSCS22957-23,1004009006288,20.22,0.30,23.07618,-5.32098,54440.16589,0
BPSCS22957-23,1004009006288,19.53,0.21,23.07546,-5.32098,54406.24349,0
BPSCS22957-23,1004009006288,20.88,0.45,23.07627,-5.32068,54421.21585,0
BPSCS22957-23,1004009006288,19.99,0.27,23.07595,-5.32022,54421.23723,0
BPSCS22957-23,1004009006288,20.07,0.30,23.07590,-5.32103,54383.27999,0
BPSCS22957-23,1004009006288,19.93,0.27,23.07611,-5.32081,54383.29188,0
BPSCS22957-23,1004009006288,20.12,0.30,23.07596,-5.32127,54383.29782,0
BPSCS22957-23,1004009006288,20.21,0.30,23.07578,-5.32085,54388.32703,0
BPSCS22957-23,1004009006288,20.02,0.27,23.07612,-5.32062,54388.33513,0
BPSCS22957-23,1004009006288,20.45,0.35,23.07610,-5.32097,54392.30875,0
BPSCS22957-23,1004009006288,21.19,0.53,23.07591,-5.32094,54392.31798,0
BPSCS22957-23,1004009006288,19.83,0.25,23.07584,-5.32057,54392.32719,0
BPSCS22957-23,1004009006288,21.02,0.48,23.07583,-5.32054,54392.33645,0
BPSCS22957-23,1004009006288,20.04,0.28,23.07566,-5.32089,54355.35772,0
BPSCS22957-23,1004009006288,20.44,0.35,23.07610,-5.32061,54355.36527,0
BPSCS22957-23,1004009006288,20.21,0.31,23.07595,-5.32103,54355.37281,0
BPSCS22957-23,1004009006288,21.06,0.48,23.07594,-5.32098,54801.23221,0
BPSCS22957-23,1004009006288,20.02,0.27,23.07553,-5.32068,54831.11901,0
BPSCS22957-23,1004009006288,20.48,0.35,23.07595,-5.32076,54831.12757,0
BPSCS22957-23,1004009006288,20.42,0.34,23.07583,-5.32011,54831.13603,0
BPSCS22957-23,1004009006288,20.37,0.33,23.07555,-5.32115,54831.14449,0
BPSCS22957-23,1004009006288,20.27,0.31,23.07578,-5.32092,54466.17777,0
BPSCS22957-23,1004009006288,20.21,0.31,23.07561,-5.32051,54466.19734,0
BPSCS22957-23,1004009006288,20.28,0.31,23.07611,-5.32040,54789.19589,0
BPSCS22957-23,1004009006288,19.49,0.21,23.07588,-5.32064,54789.20415,0
BPSCS22957-23,1004009006288,20.16,0.29,23.07610,-5.32049,54789.21227,0
BPSCS22957-23,1004009006288,19.94,0.27,23.07641,-5.32025,54740.34137,0
BPSCS22957-23,1004009006288,19.81,0.26,23.07616,-5.32120,54740.35065,0
BPSCS22957-23,1004009006288,20.59,0.39,23.07636,-5.32027,54740.35987,0
BPSCS22957-23,1004009006288,20.62,0.37,23.07619,-5.32098,54747.34960,0
BPSCS22957-23,1004009006288,19.74,0.23,23.07616,-5.32112,54747.35931,0
BPSCS22957-23,1004009006288,19.71,0.23,23.07593,-5.32162,54747.37880,0
BPSCS22957-23,1004009006288,20.22,0.31,23.07600,-5.32056,54716.36457,0
BPSCS22957-23,1004009006288,19.98,0.27,23.07584,-5.32120,54730.44676,0
BPSCS22957-23,1004009006288,20.59,0.38,23.07580,-5.32073,54730.46601,0
BPSCS22957-23,1004009006288,20.70,0.41,23.07616,-5.32068,55060.42339,0
BPSCS22957-23,1004009006288,20.80,0.43,23.07622,-5.32048,55060.44119,0
BPSCS22957-23,1004009006288,21.07,0.50,23.07598,-5.32152,55180.17957,0
BPSCS22957-23,1004009006288,20.68,0.40,23.07647,-5.32097,55180.18848,0
BPSCS22957-23,1004009006288,19.98,0.28,23.07594,-5.32093,55153.18973,0
BPSCS22957-23,1004009006288,20.89,0.38,23.07598,-5.32134,55119.27863,0
